id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	license
19168256	Apartamento con terraza y piscina en Madrid	3797913	Rocio	Ciudad Lineal	Concepción	40.44212	-3.64493	Entire home/apt	90	3	25	2022-06-05	0.43	8	271	15	VT7923
19169621	Studio in Chueca with air condioner	7179574	Mario	Centro	Justicia	40.42081	-3.69653	Entire home/apt	300	2	1	2017-07-03	0.02	1	0	0	
18993001	Un apartamento con toda la esencia de Malasaña	877001	Antonio	Centro	Universidad	40.4267	-3.70953	Entire home/apt	295	2	37	2022-04-15	0.61	7	313	3	
19171914	Modern 2 bedroom apartment with patio, Velazquez	32046323	Ivory	Salamanca	Castellana	40.43713	-3.68453	Entire home/apt	180	30	0			83	312	0	
19172122	Bright & Stylish 2BD 2BTH - CITY CENTRE	134063747	María Evangelina	Centro	Embajadores	40.41068	-3.69867	Entire home/apt	178	2	155	2022-05-24	2.58	1	306	28	VT-3261
19094004	A Bohemian Shelter - Spazio	19333624	Jorge G.	Centro	Cortes	40.41423	-3.7003	Private room	37	1	81	2021-09-15	1.33	6	47	6	
19095342	Bright and centric. Visit Madrid waking. Wifi	14714896	Ana	Centro	Palacio	40.40858	-3.71153	Entire home/apt	76	2	275	2022-06-05	4.53	2	57	68	
18993060	Bright apartment in Madrid - Arganzuela	39847153	Diego	Arganzuela	Delicias	40.39339	-3.69142	Entire home/apt	91	3	22	2021-09-09	0.37	1	46	4	
19097150	Exclusive apartment with 2 bdrs in Malasaña. 3B.	877001	Antonio	Centro	Universidad	40.42716	-3.70733	Entire home/apt	295	2	51	2022-01-30	0.84	7	303	3	
19097752	Bright apartment with 2 bdrms in city center. 3A.	877001	Antonio	Centro	Universidad	40.42671	-3.70742	Entire home/apt	295	2	16	2022-05-01	0.27	7	316	2	VT3810
19097817	Bohardilla privada con encanto	68821735	Salonica	Fuencarral - El Pardo	El Pardo	40.52014	-3.77448	Private room	57	1	27	2022-05-29	0.45	1	90	4	
19098680	Great 2 bdrms apartment in the city center. 4B.	877001	Antonio	Centro	Universidad	40.42497	-3.70947	Entire home/apt	295	2	8	2021-12-08	0.13	7	302	3	
19172432	Nice apartment in Cascorro, La Latina	79215007	Diego	Centro	Embajadores	40.40981	-3.70788	Entire home/apt	80	2	259	2022-05-23	4.27	5	238	47	VT-7162
19172641	Habitación tranquila y acogedora en Chamberí	134083015	Inmaculada	Chamberí	Vallehermoso	40.44651	-3.7054	Private room	30	2	2	2017-06-29	0.03	1	0	0	
19175300	Atocha Corner - Barrio de las Letras	112373304	Daniel	Centro	Cortes	40.41363	-3.6991	Entire home/apt	232	1	164	2022-06-05	2.73	61	260	57	
